Database Migration Validation
=========================================================================================================================
No.  PGSQL Number Of Table         MSSQL Number Of Table         
1    203                           203                           
=========================================================================================================================
Table Count Comparable Result: true
Table Name Comparable Result: true
Overall: true

Column Count and Migration Validation
=========================================================================================================================
No.  TABLE_NAME                                        MSSQL     PGSQL     Count Comparable    Column Name Comparable        
134  TRANSACTIONS_COLLATERAL_ARCHIVE                   0         0         true                          
135  TRANSACTIONS_EMAIL                                0         0         true                          
136  TRANSACTIONS_MX_DETAILS                           125       125       true                          
137  TRANSACTIONS_MX_DETAILS_ARCHIVE                   427       427       true                          
138  TRANSACTIONS_MX_DETAILS_HISTORY                   992       992       true                          
139  TRANSACTIONS_MX_HEADER                            125       125       true                          
140  TRANSACTIONS_MX_HEADER_ARCHIVE                    427       427       true                          
141  TRANSACTIONS_MX_HEADER_HISTORY                    992       992       true                          
142  TRANSACTIONS_NARRATIVE                            0         0         true                          
143  TRANSACTIONS_REPO_MASTER                          0         0         true                          
144  TRANSACTIONS_REPO_MASTER_ARCHIVE                  0         0         true                          
145  TRANSACTIONS_RETRY                                0         0         true                          
146  TRANSACTIONS_SIGNATURE                            134       134       true                          
147  TRANSACTIONS_SSDS_DETAILS                         1         1         true                          
148  TRANSACTIONS_SSDS_DETAILS_ARCHIVE                 32        32        true                          
149  TRANSACTIONS_SSDS_DETAILS_HISTORY                 51        51        true                          
150  TRANSACTIONS_SSDS_HEADER                          1         1         true                          
151  TRANSACTIONS_SSDS_HEADER_ARCHIVE                  32        32        true                          
152  TRANSACTIONS_SSDS_HEADER_HISTORY                  51        51        true                          
153  TRANSACTIONS_STAT_DETAILS                         20        20        true                          
154  TRANSACTIONS_STAT_DETAILS_ARCHIVE                 17        17        true                          
155  TRANSACTIONS_STAT_DETAILS_HISTORY                 64        64        true                          
156  TRANSACTIONS_STAT_HEADER                          20        20        true                          
157  TRANSACTIONS_STAT_HEADER_ARCHIVE                  17        17        true                          
158  TRANSACTIONS_STAT_HEADER_HISTORY                  64        64        true                          
159  TRANSACTION_STATUS                                14        14        true                          
160  TRANSACTION_STATUS_MAPPING                        32        32        true                          
161  TRANSACTIONS_TIME_MOTION                          80        80        true                          
